Rank,Player,Nationality,Metric,Stat
2,Alex Iwobi,Nigeria,Clearances Off Line,0
2,Alexandre Lacazette,France,Clearances Off Line,0
2,Bernd Leno,Germany,Clearances Off Line,0
2,Bukayo Saka,England,Clearances Off Line,0
2,Carl Jenkinson,England,Clearances Off Line,0
2,Danny Welbeck,England,Clearances Off Line,0
2,Denis Suárez,Spain,Clearances Off Line,0
2,Eddie Nketiah,England,Clearances Off Line,0
2,Granit Xhaka,Switzerland,Clearances Off Line,0
2,Héctor Bellerín,Spain,Clearances Off Line,0
2,Henrikh Mkhitaryan,Armenia,Clearances Off Line,0
2,Joe Willock,England,Clearances Off Line,0
2,Konstantinos Mavropanos,Greece,Clearances Off Line,0
2,Laurent Koscielny,France,Clearances Off Line,0
2,Lucas Torreira,Uruguay,Clearances Off Line,0
2,Matteo Guendouzi,France,Clearances Off Line,0
2,Mesut Özil,Germany,Clearances Off Line,0
2,Mohamed Elneny,Egypt,Clearances Off Line,0
2,Petr Cech,Czech Republic,Clearances Off Line,0
2,Pierre-Emerick Aubameyang,Gabon,Clearances Off Line,0
2,Rob Holding,England,Clearances Off Line,0
2,Sead Kolasinac,Bosnia And Herzegovina,Clearances Off Line,0
2,Sokratis,Greece,Clearances Off Line,0
2,Stephan Lichtsteiner,Switzerland,Clearances Off Line,0
1,Alexandre Lacazette,France,Dispossessed,61
2,Alex Iwobi,Nigeria,Dispossessed,56
3,Mesut Özil,Germany,Dispossessed,34
4,Pierre-Emerick Aubameyang,Gabon,Dispossessed,33
5,Matteo Guendouzi,France,Dispossessed,31
6,Lucas Torreira,Uruguay,Dispossessed,28
7,Aaron Ramsey,Wales,Dispossessed,27
8,Henrikh Mkhitaryan,Armenia,Dispossessed,25
9,Ainsley Maitland-Niles,England,Dispossessed,17
9,Granit Xhaka,Switzerland,Dispossessed,17
9,Sead Kolasinac,Bosnia And Herzegovina,Dispossessed,17
12,Héctor Bellerín,Spain,Dispossessed,15
13,Stephan Lichtsteiner,Switzerland,Dispossessed,13
14,Shkodran Mustafi,Germany,Dispossessed,6
15,Sokratis,Greece,Dispossessed,5
16,Carl Jenkinson,England,Dispossessed,3
16,Danny Welbeck,England,Dispossessed,3
16,Eddie Nketiah,England,Dispossessed,3
16,Laurent Koscielny,France,Dispossessed,3
16,Mohamed Elneny,Egypt,Dispossessed,3
16,Nacho Monreal,Spain,Dispossessed,3
22,Joe Willock,England,Dispossessed,2
22,Rob Holding,England,Dispossessed,2
24,Bernd Leno,Germany,Dispossessed,1
24,Denis Suárez,Spain,Dispossessed,1
25,Bukayo Saka,England,Dispossessed,0
25,Konstantinos Mavropanos,Greece,Dispossessed,0
25,Petr Cech,Czech Republic,Dispossessed,0
1,Alexandre Lacazette,France,Fouls,51
2,Granit Xhaka,Switzerland,Fouls,45
3,Shkodran Mustafi,Germany,Fouls,42
4,Lucas Torreira,Uruguay,Fouls,38
5,Sokratis,Greece,Fouls,37
6,Henrikh Mkhitaryan,Armenia,Fouls,27
7,Matteo Guendouzi,France,Fouls,24
8,Aaron Ramsey,Wales,Fouls,21
8,Sead Kolasinac,Bosnia And Herzegovina,Fouls,21
10,Nacho Monreal,Spain,Fouls,17
11,Héctor Bellerín,Spain,Fouls,16
12,Pierre-Emerick Aubameyang,Gabon,Fouls,13
13,Stephan Lichtsteiner,Switzerland,Fouls,11
14,Mesut Özil,Germany,Fouls,10
15,Laurent Koscielny,France,Fouls,9
16,Ainsley Maitland-Niles,England,Fouls,8
16,Alex Iwobi,Nigeria,Fouls,8
18,Rob Holding,England,Fouls,6
19,Danny Welbeck,England,Fouls,3
20,Konstantinos Mavropanos,Greece,Fouls,2
21,Carl Jenkinson,England,Fouls,1
21,Eddie Nketiah,England,Fouls,1
21,Mohamed Elneny,Egypt,Fouls,1
22,Bernd Leno,Germany,Fouls,0
22,Bukayo Saka,England,Fouls,0
22,Denis Suárez,Spain,Fouls,0
22,Joe Willock,England,Fouls,0
22,Petr Cech,Czech Republic,Fouls,0
1,Pierre-Emerick Aubameyang,Gabon,Goals,22
2,Alexandre Lacazette,France,Goals,13
3,Henrikh Mkhitaryan,Armenia,Goals,6
4,Mesut Özil,Germany,Goals,5
5,Aaron Ramsey,Wales,Goals,4
5,Granit Xhaka,Switzerland,Goals,4
7,Alex Iwobi,Nigeria,Goals,3
7,Laurent Koscielny,France,Goals,3
9,Lucas Torreira,Uruguay,Goals,2
9,Shkodran Mustafi,Germany,Goals,2
11,Ainsley Maitland-Niles,England,Goals,1
11,Danny Welbeck,England,Goals,1
11,Eddie Nketiah,England,Goals,1
11,Nacho Monreal,Spain,Goals,1
11,Sokratis,Greece,Goals,1
12,Bernd Leno,Germany,Goals,0
12,Bukayo Saka,England,Goals,0
12,Carl Jenkinson,England,Goals,0
12,Denis Suárez,Spain,Goals,0
12,Héctor Bellerín,Spain,Goals,0
12,Joe Willock,England,Goals,0
12,Konstantinos Mavropanos,Greece,Goals,0
12,Matteo Guendouzi,France,Goals,0
12,Mohamed Elneny,Egypt,Goals,0
12,Petr Cech,Czech Republic,Goals,0
12,Rob Holding,England,Goals,0
12,Sead Kolasinac,Bosnia And Herzegovina,Goals,0
12,Stephan Lichtsteiner,Switzerland,Goals,0
1,Bernd Leno,Germany,High Claim,10
2,Petr Cech,Czech Republic,High Claim,6
3,Aaron Ramsey,Wales,High Claim,0
3,Ainsley Maitland-Niles,England,High Claim,0
3,Alex Iwobi,Nigeria,High Claim,0
3,Alexandre Lacazette,France,High Claim,0
3,Bukayo Saka,England,High Claim,0
3,Carl Jenkinson,England,High Claim,0
3,Danny Welbeck,England,High Claim,0
3,Denis Suárez,Spain,High Claim,0
3,Eddie Nketiah,England,High Claim,0
3,Granit Xhaka,Switzerland,High Claim,0
3,Héctor Bellerín,Spain,High Claim,0
3,Henrikh Mkhitaryan,Armenia,High Claim,0
3,Joe Willock,England,High Claim,0
3,Konstantinos Mavropanos,Greece,High Claim,0
3,Laurent Koscielny,France,High Claim,0
3,Lucas Torreira,Uruguay,High Claim,0
3,Matteo Guendouzi,France,High Claim,0
3,Mesut Özil,Germany,High Claim,0
3,Mohamed Elneny,Egypt,High Claim,0
3,Nacho Monreal,Spain,High Claim,0
3,Pierre-Emerick Aubameyang,Gabon,High Claim,0
3,Rob Holding,England,High Claim,0
3,Sead Kolasinac,Bosnia And Herzegovina,High Claim,0
3,Shkodran Mustafi,Germany,High Claim,0
3,Sokratis,Greece,High Claim,0
3,Stephan Lichtsteiner,Switzerland,High Claim,0
1,Pierre-Emerick Aubameyang,Gabon,Hit Woodwork,4
2,Alexandre Lacazette,France,Hit Woodwork,1
2,Henrikh Mkhitaryan,Armenia,Hit Woodwork,1
2,Lucas Torreira,Uruguay,Hit Woodwork,1
2,Mesut Özil,Germany,Hit Woodwork,1
6,Shkodran Mustafi,Germany,Hit Woodwork,0
7,Aaron Ramsey,Wales,Hit Woodwork,0
7,Ainsley Maitland-Niles,England,Hit Woodwork,0
7,Alex Iwobi,Nigeria,Hit Woodwork,0
7,Bernd Leno,Germany,Hit Woodwork,0
7,Bukayo Saka,England,Hit Woodwork,0
7,Carl Jenkinson,England,Hit Woodwork,0
7,Danny Welbeck,England,Hit Woodwork,0
7,Denis Suárez,Spain,Hit Woodwork,0
7,Eddie Nketiah,England,Hit Woodwork,0
7,Granit Xhaka,Switzerland,Hit Woodwork,0
